area,baths,beds,bathrooms,dining room,distance from airport (kms),drawing room,electricity backup,flooring,floors,kids play area,kitchens,lounge or sitting room,study room,waste disposal,price per sq yard,price,Flat,House,Lower Portion,Penthouse,Room,Upper Portion,Bahria Town Karachi,Cantt,Clifton,DHA Defence,Federal B Area,Gadap Town,Gulistan-e-Jauhar,Gulshan-e-Iqbal Town,Jamshed Town,Malir,North Nazimabad,Others,Scheme 33
55,1,1,1,0,0,0,1,1,0,0,1,1,0,1,81163,4464000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,1,1,1,0,0,0,1,1,0,1,1,0,0,1,141666,5950000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
152,4,3,4,1,1,1,1,1,1,1,1,1,1,1,121710,18500000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
350,4,4,4,1,0,1,0,0,0,0,0,0,0,0,72857,25500000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
144,2,3,0,0,0,0,0,0,0,0,0,0,0,0,83333,12000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
240,6,6,6,1,0,1,1,1,0,0,2,0,0,0,145833,35000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
286,3,3,3,1,1,1,1,1,0,1,1,1,1,1,99650,28500000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
286,3,3,3,1,1,1,1,1,0,1,1,1,1,1,115384,33000000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
200,3,3,3,1,0,1,0,0,0,0,0,0,0,0,105000,21000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,2,3,2,1,0,1,0,0,0,0,0,0,0,0,126666,9500000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
240,5,3,6,1,0,1,1,1,2,1,2,1,1,0,162500,39000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,2,2,1,1,1,1,1,1,0,1,1,1,1,1,63063,7000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
244,5,3,5,1,0,1,1,1,0,0,1,0,1,0,153688,37500000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
306,5,3,5,1,0,1,1,1,0,0,1,0,1,0,151960,46500000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
350,4,4,4,1,0,1,0,0,0,0,0,0,0,0,72857,25500000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
152,3,3,3,1,0,1,0,0,0,0,0,0,0,0,118421,18000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
333,4,3,4,1,0,1,1,1,0,1,1,1,1,0,148648,49500000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
350,4,4,0,0,0,0,1,1,0,0,0,0,0,0,54285,19000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,2,2,2,0,0,0,1,1,0,0,0,0,0,0,66037,7000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
240,7,6,7,1,1,1,1,1,0,1,2,1,0,0,152083,36500000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
125,3,3,3,1,1,1,1,1,0,1,1,1,1,1,124000,15500000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,2,2,2,1,1,1,1,1,0,1,1,1,1,1,75471,8000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,2,2,2,1,1,1,1,1,0,1,1,1,1,1,65573,8000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,3,3,3,1,1,1,1,1,0,1,1,1,0,0,58333,7000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
286,3,3,3,1,1,1,1,1,0,1,1,1,1,1,101398,29000000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
350,4,4,5,1,0,1,1,1,0,0,1,1,0,0,70000,24500000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
400,3,3,3,1,0,1,1,1,0,0,1,1,0,0,107500,43000000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,5,4,5,1,0,1,1,1,0,0,2,1,0,0,166666,20000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
300,3,3,3,1,1,1,1,1,0,1,1,1,1,1,98333,29500000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,3,3,3,1,0,1,0,0,0,0,0,0,0,0,128000,16000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,3,3,3,1,0,1,0,1,0,1,1,0,0,0,122641,13000000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
